Base     Module                                    Party  Path                                                                                                                       Status  
64A00000 wireless.dll                              User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.Wireless\Bin\Wireless.dll                                                       Unloaded
64900000 winks.dll                                 User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.Winks\bin\Winks.dll                                                             Unloaded
64700000 weather.dll                               User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.Weather\Bin\Weather.dll                                                         Unloaded
66600000 wblog.dll                                 User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.WBlog\Bin\WBlog.dll                                                             Unloaded
09220000 wbmisc.dll                                User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.WBlog\Bin\WBMisc.dll                                                            Unloaded
6A700000 wbkernel.dll                              User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.WBlog\Bin\WBKernel.dll                                                          Unloaded
64600000 vas.dll                                   User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.VAS\bin\VAS.dll                                                                 Unloaded
0F4F0000 trcloudinputlib.dll                       User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.VAS\bin\TRCloudInputLib.dll                                                     Unloaded
63F00000 snsapp.dll                                User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.SNSApp\Bin\SNSApp.dll                                                           Unloaded
0DF60000 qzone.dll                                 User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.Qzone\Bin\Qzone.dll                                                             Unloaded
62900000 memo.dll                                  User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.Memo\Bin\Memo.dll                                                               Unloaded
62700000 mail.dll                                  User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.Mail\Bin\Mail.dll                                                               Unloaded
6A100000 filetransfer.dll                          User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.FileTransfer\Bin\FileTransfer.dll                                               Unloaded
17700000 xplatform.dll                             User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.AudioVideo\bin\xplatform.dll                                                    Unloaded
69800000 audiovideo.dll                            User   D:\_work\od_ida\QQIntl1\Plugin\Com.Tencent.AudioVideo\bin\AudioVideo.dll                                                   Unloaded
11F00000 zlib.dll                                  User   D:\_work\od_ida\QQIntl1\Bin\zlib.dll                                                                                       Unloaded
09110000 xplatformex.dll                           User   D:\_work\od_ida\QQIntl1\Bin\xplatformex.dll                                                                                Unloaded
11200000 ximage.dll                                User   D:\_work\od_ida\QQIntl1\Bin\xImage.dll                                                                                     Unloaded
60BD0000 xgraphic32.dll                            User   D:\_work\od_ida\QQIntl1\Bin\xGraphic32.dll                                                                                 Unloaded
11100000 tinyxml.dll                               User   D:\_work\od_ida\QQIntl1\Bin\tinyxml.dll                                                                                    Unloaded
02130000 lua.dll                                   User   D:\_work\od_ida\QQIntl1\Bin\lua.dll                                                                                        Unloaded
11300000 libpng.dll                                User   D:\_work\od_ida\QQIntl1\Bin\libpng.dll                                                                                     Unloaded
11400000 libjpegturbo.dll                          User   D:\_work\od_ida\QQIntl1\Bin\libjpegturbo.dll                                                                               Unloaded
11000000 libexpatw.dll                             User   D:\_work\od_ida\QQIntl1\Bin\libexpatw.dll                                                                                  Unloaded
11500000 jgimage.dll                               User   D:\_work\od_ida\QQIntl1\Bin\jgImage.dll                                                                                    Unloaded
10000000 arkiostub.dll                             User   D:\_work\od_ida\QQIntl1\Bin\arkIOStub.dll                                                                                  Unloaded
603A0000 arkgraphic.dll                            User   D:\_work\od_ida\QQIntl1\Bin\arkGraphic.dll                                                                                 Unloaded
11E00000 utilgif.dll                               User   D:\_work\od_ida\QQIntl1\Bin\UtilGif.dll                                                                                    Unloaded
62000000 tasktray.dll                              User   D:\_work\od_ida\QQIntl1\Bin\TaskTray.dll                                                                                   Unloaded
67200000 systemmsg.dll                             User   D:\_work\od_ida\QQIntl1\Bin\SystemMsg.dll                                                                                  Unloaded
69200000 skinmgr.dll                               User   D:\_work\od_ida\QQIntl1\Bin\SkinMgr.dll                                                                                    Unloaded
39700000 riched20.dll                              User   D:\_work\od_ida\QQIntl1\Bin\RICHED20.DLL                                                                                   Unloaded
00400000 qq.exe                                    User   D:\_work\od_ida\QQIntl1\Bin\QQ.exe                                                                                         Unloaded
67C00000 qinterlive.dll                            User   D:\_work\od_ida\QQIntl1\Bin\QInterLive.dll                                                                                 Unloaded
11800000 processsession.dll                        User   D:\_work\od_ida\QQIntl1\Bin\ProcessSession.dll                                                                             Unloaded
03E10000 preloginlogic.dll                         User   D:\_work\od_ida\QQIntl1\Bin\PreloginLogic.dll                                                                              Unloaded
36300000 plugincommon.dll                          User   D:\_work\od_ida\QQIntl1\Bin\PluginCommon.dll                                                                               Unloaded
65300000 msgmgr.dll                                User   D:\_work\od_ida\QQIntl1\Bin\MsgMgr.dll                                                                                     Unloaded
61C00000 mainframe.dll                             User   D:\_work\od_ida\QQIntl1\Bin\MainFrame.dll                                                                                  Unloaded
65100000 loginpanel.dll                            User   D:\_work\od_ida\QQIntl1\Bin\LoginPanel.dll                                                                                 Unloaded
31800000 kernelutil.dll                            User   D:\_work\od_ida\QQIntl1\Bin\KernelUtil.dll                                                                                 Unloaded
33B00000 kernelmisc.dll                            User   D:\_work\od_ida\QQIntl1\Bin\KernelMisc.dll                                                                                 Unloaded
64F00000 informationbox.dll                        User   D:\_work\od_ida\QQIntl1\Bin\InformationBox.dll                                                                             Unloaded
021C0000 ipc.dll                                   User   D:\_work\od_ida\QQIntl1\Bin\IPC.dll                                                                                        Unloaded
33D00000 im.dll                                    User   D:\_work\od_ida\QQIntl1\Bin\IM.dll                                                                                         Unloaded
69F00000 hummerengine.dll                          User   D:\_work\od_ida\QQIntl1\Bin\HummerEngine.dll                                                                               Unloaded
